Step,Reward,Action,Link_Cost,Decision_Type
716,-100.00,49,1.00,RL
717,-100.00,49,1.00,RL
718,-100.00,49,1.00,RL
719,-100.00,49,1.00,RL
720,-100.00,49,1.00,RL
721,-100.00,49,1.00,RL
722,-100.00,49,1.00,RL
723,-100.00,49,1.00,RL
724,-100.00,49,1.00,RL
725,-100.00,49,1.00,RL
726,-100.00,49,1.00,RL
727,-100.00,49,1.00,RL
728,-100.00,49,1.00,RL
729,-100.00,49,1.00,RL
730,-100.00,49,1.00,RL
731,-100.00,49,1.00,RL
732,-100.00,49,1.00,RL
733,-100.00,49,1.00,RL
734,-100.00,49,1.00,RL
735,-100.00,49,1.00,RL
736,-100.00,49,1.00,RL
737,-100.00,49,1.00,RL
738,-100.00,49,1.00,RL
739,-100.00,49,1.00,RL
740,-100.00,49,1.00,RL
741,-100.00,49,1.00,RL
742,-100.00,49,1.00,RL
743,-100.00,49,1.00,RL
744,-100.00,49,1.00,RL
745,-100.00,49,1.00,RL
746,-100.00,49,1.00,RL
747,-100.00,49,1.00,RL
748,-100.00,49,1.00,RL
749,-100.00,49,1.00,RL
750,-100.00,49,1.00,RL
751,-100.00,49,1.00,RL
752,-100.00,49,1.00,RL
753,-100.00,49,1.00,RL
754,-100.00,49,1.00,RL
755,-100.00,49,1.00,RL
756,-100.00,49,1.00,RL
757,-100.00,49,1.00,RL
758,-100.00,49,1.00,RL
759,-100.00,49,1.00,RL
760,-100.00,49,1.00,RL
761,-100.00,49,1.00,RL
762,-100.00,49,1.00,RL
763,-100.00,49,1.00,RL
764,-100.00,49,1.00,RL
765,-100.00,49,1.00,RL
766,-100.00,49,1.00,RL
767,-100.00,49,1.00,RL
768,-100.00,49,1.00,RL
769,-100.00,49,1.00,RL
770,-100.00,49,1.00,RL
771,-100.00,49,1.00,RL
772,-100.00,49,1.00,RL
773,-100.00,49,1.00,RL
774,-100.00,49,1.00,RL
775,-100.00,49,1.00,RL
776,-100.00,49,1.00,RL
777,-100.00,49,1.00,RL
778,-100.00,49,1.00,RL
779,-100.00,49,1.00,RL
780,-100.00,49,1.00,RL
781,-100.00,49,1.00,RL
782,-100.00,49,1.00,RL
783,-100.00,49,1.00,RL
784,-100.00,49,1.00,RL
785,-100.00,49,1.00,RL
786,-100.00,49,1.00,RL
787,-100.00,49,1.00,RL
788,-100.00,49,1.00,RL
789,-100.00,49,1.00,RL
790,-100.00,49,1.00,RL
791,-100.00,49,1.00,RL
792,-100.00,49,1.00,RL
793,-100.00,49,1.00,RL
794,-100.00,49,1.00,RL
795,-100.00,49,1.00,RL
796,-100.00,49,1.00,RL
797,-100.00,49,1.00,RL
798,-100.00,49,1.00,RL
799,-100.00,49,1.00,RL
800,-100.00,49,1.00,RL
801,-100.00,49,1.00,RL
802,-100.00,49,1.00,RL
803,-100.00,49,1.00,RL
804,-100.00,49,1.00,RL
805,-100.00,49,1.00,RL
806,-100.00,49,1.00,RL
807,-100.00,49,1.00,RL
808,-100.00,49,1.00,RL
809,-100.00,49,1.00,RL
810,-100.00,49,1.00,RL
811,-100.00,49,1.00,RL
812,-100.00,49,1.00,RL
813,-100.00,49,1.00,RL
814,-100.00,49,1.00,RL
815,-100.00,49,1.00,RL
816,-100.00,49,1.00,RL
817,-100.00,49,1.00,RL
818,-100.00,49,1.00,RL
819,-100.00,49,1.00,RL
820,-100.00,49,1.00,RL
821,-100.00,49,1.00,RL
822,-100.00,49,1.00,RL
823,-100.00,49,1.00,RL
824,-100.00,49,1.00,RL
825,-100.00,49,1.00,RL
826,-100.00,49,1.00,RL
827,-100.00,49,1.00,RL
828,-100.00,49,1.00,RL
829,-100.00,49,1.00,RL
830,-100.00,49,1.00,RL
831,-100.00,49,1.00,RL
832,-100.00,49,1.00,RL
833,-100.00,49,1.00,RL
834,-100.00,49,1.00,RL
835,-100.00,49,1.00,RL
836,-100.00,49,1.00,RL
837,-100.00,49,1.00,RL
838,-100.00,49,1.00,RL
839,-100.00,49,1.00,RL
840,-100.00,49,1.00,RL
841,-100.00,49,1.00,RL
842,-100.00,49,1.00,RL
843,-100.00,49,1.00,RL
844,-100.00,49,1.00,RL
845,-100.00,49,1.00,RL
846,-100.00,49,1.00,RL
847,-100.00,49,1.00,RL
848,-100.00,49,1.00,RL
849,-100.00,49,1.00,RL
850,-100.00,49,1.00,RL
851,-100.00,49,1.00,RL
852,-100.00,49,1.00,RL
853,-100.00,49,1.00,RL
854,-100.00,49,1.00,RL
855,-100.00,49,1.00,RL
856,-100.00,49,1.00,RL
857,-100.00,49,1.00,RL
858,-100.00,49,1.00,RL
859,-100.00,49,1.00,RL
860,-100.00,49,1.00,RL
861,-100.00,49,1.00,RL
862,-100.00,49,1.00,RL
863,-100.00,49,1.00,RL
864,-100.00,49,1.00,RL
865,-100.00,49,1.00,RL
866,-100.00,49,1.00,RL
